Key,Vote,Reason,Code,DOI,Title
Output: palavras/termos extraídos, não ""threat detected""
IC1 foca em ""threat DETECTION tasks"".",,10.1007/978-3-031-25460-4_37,Automation of Vulnerability Information Extraction Using Transformer-Based Language Models
GJ6T3TPJ,EXCLUDE,"Excluded due to IC1 violation. The LLM plays an auxiliary role (e.g., preprocessing, interface, query processing) but does not directly perform threat detection or classification.",EC4,10.1007/s11432-024-4351-3,Backdoor threats in large language models—a survey
92MKARBI,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1007/978-3-031-16078-3_58,Bag-of-Words Similarity in eXplainable AI
6Y5Z3C87,EXCLUDE,"Although transformer-based models such as BERT and DistilBERT are sometimes referred to as language models, in this study we distinguish Large Language Models (LLMs) as generative, instruction-following models capable of reasoning and prompt-based inference.",EC1,10.1007/978-3-031-87719-3_2,BaitBlock: Hybrid AI-Approach for Phishing Detection Across Communication Platforms
UB8NWT5W,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1007/s40593-024-00439-5,Barriers to and Opportunities for the Adoption of Generative Artificial Intelligence in Higher Education in the Global South: Insights from Sri Lanka
ZXRDJR46,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1007/s00170-025-15443-9,Barriers to implementing Industry 4.0: perceptions of professionals in the Brazilian cement industry
5GTQUZSJ,EXCLUDE,"Excluded due to IC1 violation. The LLM plays an auxiliary role (e.g., preprocessing, interface, query processing) but does not directly perform threat detection or classification.",EC1,10.1007/s42044-025-00310-3,BEHSMD: enhanced Handle System through blockchain to secure social media data
C6ALFIZG,INCLUDE,Excluded: Does not meet inclusion criteria IC1 or IC2.,"IC1, IC2",10.1007/s10922-024-09831-x,"Benchmarking Large Language Models for Log Analysis, Security, and Interpretation"
XCAJ96AW,INCLUDE,Excluded: Does not meet inclusion criteria IC1 or IC2.,"IC1, IC2",10.1007/978-3-031-77731-8_13,Benchmarking Out of the Box Open-Source LLMs for Malware Detection Based on API Calls Sequences
C37QL968,EXCLUDE,"Excluded due to IC1 violation. The LLM serves as a feature extractor, generating semantic representations that are subsequently processed by another model for detection. The LLM does not directly classify or identify threats.",,10.1186/s13635-025-00191-w,BERT-based network for intrusion detection system
PSA2UTAP,EXCLUDE,"""BERT contextual features → 7 ML classifiers"". Abstract explícito: features ""are passed to"" ML models.",,10.1007/978-3-031-87775-9_22,BERT-Powered Malware Detection with Potential Regional and Contextual Features
AYPRAKE3,EXCLUDE,"Excluded due to IC1 violation. The LLM serves as a feature extractor, generating semantic representations that are subsequently processed by another model for detection. The LLM does not directly classify or identify threats.",EC1,10.1007/978-981-99-6222-8_36,BertHTLG: Graph-Based Microservice Anomaly Detection Through Sentence-Bert Enhancement
Z4U5ZZEY,EXCLUDE,"Excluded due to IC1 violation. The LLM serves as a feature extractor, generating semantic representations that are subsequently processed by another model for detection. The LLM does not directly classify or identify threats.",EC1,10.1007/978-981-97-8795-1_4,BertTab: Table Learning with Feature Descriptions and Context
36GFHZP6,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC2,10.1007/978-3-030-70866-5_1,Better Anomaly Detection for Access Attacks Using Deep Bidirectional LSTMs
TSPV6TXW,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1007/s00146-025-02419-2,Beyond accidents and misuse: decoding the structural risk dynamics of artificial intelligence
LGQVWNGH,EXCLUDE,Excluded: The study does not address cybersecurity threat detection. It focuses on a different application domain.,EC1,10.1007/s00521-024-10833-8,Beyond administrative reports: a deep learning framework for classifying and monitoring crime and accidents leveraging large-scale online news
IWMM28VE,EXCLUDE,"Excluded due to IC1 violation. The LLM plays an auxiliary role (e.g., preprocessing, interface, query processing) but does not directly perform threat detection or classification.",EC1,10.1007/978-981-97-5791-6_15,Beyond Copy–Pasting—Contextualizing LLMs for Secure Code Generation
QHZPHFV5,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC1,10.1007/s42979-024-02935-w,Bias in X (Twitter) and Telegram Based Intelligence Analysis: Exploring Challenges and Potential Mitigating Roles of AI
Y3TZ87QK,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,"EC4, EC2",10.1186/s40537-025-01192-9,"Big Data Analytics in IoT, social media, NLP, and information security: trends, challenges, and applications"
LJEBT232,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC2,10.1007/s10586-024-04306-9,Big-IDS: a decentralized multi agent reinforcement learning approach for distributed intrusion detection in big data networks*
49J2GQQL,EXCLUDE,Excluded: Secondary study (survey/review) without primary research contribution.,EC4,10.1007/s10586-025-05797-w,Blockchain-based fraud detection: A systematic review of Ethereum network applications
6KEJNT7Z,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1038/s41598-025-13809-3,Blockchain-based shop floor control system for small and medium-sized enterprise evolution to industry 4.0
ZDZ7KE52,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC1,10.1007/978-981-96-1414-1_1,Blockchain-Enabled Large Language Models for Prognostics and Health Management Framework in Industrial Internet of Things
M4JMAY65,EXCLUDE,Excluded: The study does not address cybersecurity threat detection. It focuses on a different application domain.,EC1,10.1007/978-981-96-8298-0_27,Bot Wars Evolved: Orchestrating Competing LLMs in a Counterstrike Against Phone Scams
