key,title,decision,reason,criteria,timestamp
55Q4VJ93,SentinelNet: safeguarding multi-agent collaboration through credit-based dynamic threat detection,INCLUDE,SentinelNet: decentralized framework for proactively detecting and mitigating malicious behaviors in multi-agent systems.,"IC1,IC2",2026-01-12T11:52:36.945238
RAC9U7U6,Smart contract intent detection with pre-trained programming language model,INCLUDE,Smart contract intent detection using domain-adaptively pre-trained BERT models.,"IC1,IC2",2026-01-12T11:37:51.000127
J6R68X5R,Client-side zero-shot LLM inference for comprehensive In-browser URL analysis,INCLUDE,Uses local LLM for phishing/malicious URL detection.,"IC1,IC2",2026-01-12T11:03:14.263133
M68WDV7V,SentinelAgent: graph-based anomaly detection in multi-agent systems,INCLUDE,Uses an LLM (SentinelAgent) for anomaly detection within Multi-Agent Systems.,"IC1,IC2",2026-01-12T11:03:12.609654
XXQ2H8IN,"JavaSith: a client-side framework for analyzing potentially malicious extensions in browsers, VS code, and NPM packages",INCLUDE,Uses LLM for malicious code detection in browser extensions (JavaSith).,"IC1,IC2",2026-01-12T11:00:46.173184
6PQDDH55,A unified framework for human AI collaboration in security operations centers with trusted autonomy,INCLUDE,LLM used as SOC assistant for threat detection/triage.,"IC1,IC2",2026-01-12T11:11:38.420510
AI6CWI6U,MultiPhishGuard: an LLM-based multi-agent system for phishing email detection,INCLUDE,Explicit LLM-based phishing detection.,"IC1,IC2",2026-01-12T11:11:37.479862
4CCGW23W,Leveraging large language models for command injection vulnerability analysis in python: an empirical study on popular open-source projects,INCLUDE,Uses LLM for vulnerability detection (Command Injection).,"IC1,IC2",2026-01-12T11:06:22.664402
HU8M78S2,LLM-BSCVM: an LLM-based blockchain smart contract vulnerability management framework,INCLUDE,LLM used for vulnerability detection in smart contracts.,"IC1,IC2",2026-01-12T11:11:35.664547
HHW3IIKJ,LLM-based threat detection and prevention framework for IoT ecosystems,INCLUDE,Explicitly proposes LLM-based anomaly detection for IoT.,"IC1,IC2",2026-01-12T11:06:18.503154
EFGKXWSC,SV-LLM: an agentic approach for SoC security verification using large language models,INCLUDE,Uses LLM agents for SoC vulnerability detection.,"IC1,IC2",2026-01-12T11:11:50.785355
IFU6PGD4,PhishDebate: an LLM-based multi-agent framework for phishing website detection,INCLUDE,Explicit LLM-based phishing detection.,"IC1,IC2",2026-01-12T11:11:46.725956
HZRUHI79,Evaluating language models for threat detection in IoT security logs,INCLUDE,Explicit LLM-based threat detection in IoT logs.,"IC1,IC2",2026-01-12T11:15:01.495978
WNU8C9Z6,Enhancing android malware detection with retrieval-augmented generation,INCLUDE,Uses LLM + RAG for Android Malware Detection.,"IC1,IC2",2026-01-12T11:14:57.891700
KR3XQPIM,"Evaluating large language models for phishing detection, self-consistency, faithfulness, and explainability",INCLUDE,Explicit LLM-based phishing detection.,"IC1,IC2",2026-01-12T11:14:51.998299
8M2TE2JT,Expert-in-the-loop systems with cross-domain and In-domain few-shot learning for software vulnerability detection,INCLUDE,Explicit LLM-based vulnerability detection.,"IC1,IC2",2026-01-12T11:14:51.198977
746MUH9Q,ShieldLearner: a new paradigm for jailbreak attack defense in LLMs,INCLUDE,Uses learning paradigm to detect jailbreak threats.,"IC1,IC2",2026-01-12T11:15:02.678564
D5UB52EC,Audit-LLM: multi-agent collaboration for log-based insider threat detection,INCLUDE,Explicit LLM-based Insider Threat Detection.,"IC1,IC2",2026-01-12T11:17:43.876501
DCWV2KWM,PhishAgent: a robust multimodal agent for phishing webpage detection,INCLUDE,Explicit LLM-based phishing detection.,"IC1,IC2",2026-01-12T11:20:40.191312
TEJ9EMD7,From ML to LLM: evaluating the robustness of phishing webpage detection models against adversarial attacks,INCLUDE,Evaluates MLLM-based phishing detector.,"IC1,IC2",2026-01-12T11:17:45.563071
HCWXPKZ4,A lean transformer model for dynamic malware analysis and detection,INCLUDE,Uses Transformer (LLM architecture) for malware detection.,"IC1,IC2",2026-01-12T11:17:46.832877
BSMAUPXM,"PhishLang: a real-time, fully client-side phishing detection framework using MobileBERT",INCLUDE,Uses MobileBERT for Phishing detection.,"IC1,IC2",2026-01-12T11:17:47.790232
6CH8SI5K,Static detection of filesystem vulnerabilities in android systems,INCLUDE,Uses LLM for Vulnerability Detection (validation/exploit generation).,"IC1,IC2",2026-01-12T11:17:42.614055
Z2DNB2DN,A novel generative AI-based framework for anomaly detection in multicast messages in smart grid communications,INCLUDE,Explicit LLM-based Anomaly Detection in Smart Grid.,"IC1,IC2",2026-01-12T11:17:37.697572
UGMNFXA7,DomURLs_BERT: pre-trained BERT-based model for malicious domains and URLs detection and classification,INCLUDE,Explicit BERT (LLM) based malicious domain detection.,"IC1,IC2",2026-01-12T11:20:52.130276
NEVQJ9XK,Towards automatic hands-on-keyboard attack detection using LLMs in EDR solutions,INCLUDE,Explicit LLM-based HOK attack detection.,"IC1,IC2",2026-01-12T11:20:45.537524
B3V992HH,PenHeal: a two-stage LLM framework for automated pentesting and optimal remediation,INCLUDE,Automated Pentesting (Vulnerability Detection) using LLMs.,"IC1,IC2",2026-01-12T11:20:46.470987
HMAQA7RX,MistralBSM: leveraging mistral-7B for vehicular networks misbehavior detection,INCLUDE,Explicit LLM-based Misbehavior Detection in Vehicular Networks.,"IC1,IC2",2026-01-12T11:20:49.336305
Z9HCE7SB,LLM app squatting and cloning,INCLUDE,Uses BERT to detect app cloning/squatting.,"IC1,IC2",2026-01-12T11:23:51.695257
K9IIDQTZ,Secret breach prevention in software issue reports,INCLUDE,Uses LLM to detect leaked secrets (Threat Detection).,"IC1,IC2",2026-01-12T11:20:58.645736
IGCMHNIR,Palisade -- prompt injection detection framework,INCLUDE,Uses companion LLM to detect Prompt Injection attacks.,"IC1,IC2",2026-01-12T11:23:46.955901
U68QBKVK,BlockScan: detecting anomalies in blockchain transactions,INCLUDE,Transformer (LLM architecture) for Blockchain Anomaly Detection.,"IC1,IC2",2026-01-12T11:20:55.824925
R8ZAUXDE,Take package as language: anomaly detection using transformer,INCLUDE,Proposes NIDS-GPT for network intrusion detection.,"IC1,IC2",2026-01-12T11:32:36.677089
RBMERP5K,TIPS: threat actor informed prioritization of applications using SecEncoder,INCLUDE,Proposes SecEncoder (specialized LLM) to detect/prioritize compromised applications.,"IC1,IC2",2026-01-12T11:32:38.724587
AW6V24A8,LLMs for domain generation algorithm detection,INCLUDE,Analyzes/proposes LLMs for DGA detection (malware communication detection).,"IC1,IC2",2026-01-12T11:32:35.859402
C9E99PIC,Enhancing pre-trained language models for vulnerability detection via semantic-preserving data augmentation,INCLUDE,Enhancing LLM-based Vulnerability Detection.,"IC1,IC2",2026-01-12T11:23:56.808684
2GVVFZJ3,Combating phone scams with LLM-based detection: where do we stand?,INCLUDE,Explicit LLM-based Phone Scam Detection.,"IC1,IC2",2026-01-12T11:23:55.810916
H99A2ZSN,Robust anomaly detection in O-RAN: leveraging LLMs against data manipulation attacks,INCLUDE,Investigates LLMs for anomaly detection in O-RAN against adversarial manipulation.,"IC1,IC2",2026-01-12T11:32:41.829992
MPG747M9,Can multi-modal (reasoning) LLMs detect document manipulation?,INCLUDE,Investigates multi-modal LLMs for detecting document manipulation (fraud threat).,"IC1,IC2",2026-01-12T11:35:00.956211
K5HHI6XG,Securing agentic AI: threat modeling and risk analysis for network monitoring agentic AI system,INCLUDE,Threat modeling and risk analysis for agentic AI in network monitoring.,"IC1,IC2",2026-01-12T11:34:59.889070
34H6JM5W,Leveraging large language models for SQL behavior-based database intrusion detection,INCLUDE,Leverages BERT for SQL behavior-based database intrusion detection.,"IC1,IC2",2026-01-12T11:34:49.322515
884KRRGI,Quantifying conversation drift in MCP via latent polytope,INCLUDE,SecMCP framework for detecting conversation drift and hijacking in tool-integrated LLMs.,"IC1,IC2",2026-01-12T11:34:52.845929
MAD3UE3F,"MindGuard: tracking, detecting, and attributing MCP tool poisoning attack via decision dependence graph",INCLUDE,MindGuard: detecting and attributing tool poisoning attacks in MCP via decision dependence graphs.,"IC1,IC2",2026-01-12T11:37:51.846046
D9AC9P7M,LLM-driven provenance forensics for threat investigation and detection,INCLUDE,PROVSEEK: agentic framework for automated provenance-driven forensic analysis and threat detection.,"IC1,IC2",2026-01-12T11:37:54.355308
D5B2G4VC,AnomalyExplainer explainable AI for LLM-based anomaly detection using BERTViz and captum,INCLUDE,AnomalyExplainer: XAI framework for LLM-based anomaly detection in logs.,"IC1,IC2",2026-01-12T11:37:49.961124
FPNEXHKG,Paladin: defending LLM-enabled phishing emails with a new trigger-tag paradigm,INCLUDE,Paladin: instrumented LLMs for identifying phishing emails via trigger-tag associations.,"IC1,IC2",2026-01-12T11:37:56.237538
IXS2J4CD,Insight-LLM: LLM-enhanced multi-view fusion in insider threat detection,INCLUDE,Insight-LLM: multi-view fusion framework for insider threat detection.,"IC1,IC2",2026-01-12T11:37:55.391090
TV4D2GI9,Design and development of an intelligent LLM-based LDAP honeypot,INCLUDE,Design of an intelligent LLM-based LDAP honeypot for threat analysis.,"IC1,IC2",2026-01-12T11:41:36.065159
