key,title,decision,reason,criteria,timestamp
55Q4VJ93,SentinelNet: safeguarding multi-agent collaboration through credit-based dynamic threat detection,INCLUDE,SentinelNet: decentralized framework for proactively detecting and mitigating malicious behaviors in multi-agent systems.,"IC1,IC2",2026-01-12T11:52:36.945238
RAC9U7U6,Smart contract intent detection with pre-trained programming language model,INCLUDE,Smart contract intent detection using domain-adaptively pre-trained BERT models.,"IC1,IC2",2026-01-12T11:37:51.000127
J6R68X5R,Client-side zero-shot LLM inference for comprehensive In-browser URL analysis,INCLUDE,Uses local LLM for phishing/malicious URL detection.,"IC1,IC2",2026-01-12T11:03:14.263133
XFKBUUTP,BEAR: BGP event analysis and reporting,INCLUDE,Uses LLM for BGP anomaly analysis/explanation (Threat Detection support).,"IC1,IC2",2026-01-12T11:06:17.007535
M68WDV7V,SentinelAgent: graph-based anomaly detection in multi-agent systems,INCLUDE,Uses an LLM (SentinelAgent) for anomaly detection within Multi-Agent Systems.,"IC1,IC2",2026-01-12T11:03:12.609654
NQEDJ6TG,IRCopilot: automated incident response with large language models,INCLUDE,"Proposes LLM-based Incident Response framework (IRCopilot), integral to threat detection/remediation.",IC1,2026-01-12T11:00:45.269184
XXQ2H8IN,"JavaSith: a client-side framework for analyzing potentially malicious extensions in browsers, VS code, and NPM packages",INCLUDE,Uses LLM for malicious code detection in browser extensions (JavaSith).,"IC1,IC2",2026-01-12T11:00:46.173184
ZBMFH5WE,Benchmarking LLMs in an embodied environment for blue team threat hunting,INCLUDE,Primary study proposing CYBERTEAM benchmark for LLM-based threat hunting.,"IC1,IC2",2026-01-12T10:58:00.828939
BIVFMCUP,ChestyBot: detecting and disrupting chinese communist party influence stratagems,INCLUDE,Primary tool proposal (ChestyBot) using language models for influence operation detection.,"IC1,IC2",2026-01-12T10:55:26.148728
S2F8HZIJ,RuleGenie: SIEM detection rule set optimization,INCLUDE,"LLM used for SIEM rule optimization, a critical threat detection support task.","IC1,IC2",2026-01-12T10:58:02.913224
RFSHFEGN,AI-driven IRM: transforming insider risk management with adaptive scoring and LLM-based threat detection,INCLUDE,Title claims 'LLM-based threat detection'. Abstract ambiguous but warrants full-text check.,IC1,2026-01-12T10:58:01.979210
DMZAGJZJ,Detection method for prompt injection by integrating pre-trained model and heuristic feature engineering,INCLUDE,Uses an LLM to detect Prompt Injection attacks.,"IC1,IC2",2026-01-12T11:11:41.685015
6PQDDH55,A unified framework for human AI collaboration in security operations centers with trusted autonomy,INCLUDE,LLM used as SOC assistant for threat detection/triage.,"IC1,IC2",2026-01-12T11:11:38.420510
AI6CWI6U,MultiPhishGuard: an LLM-based multi-agent system for phishing email detection,INCLUDE,Explicit LLM-based phishing detection.,"IC1,IC2",2026-01-12T11:11:37.479862
5T8PH7VC,VAU-R1: advancing video anomaly understanding via reinforcement fine-tuning,INCLUDE,MLLM used for video anomaly detection.,"IC1,IC2",2026-01-12T11:11:39.500679
4CCGW23W,Leveraging large language models for command injection vulnerability analysis in python: an empirical study on popular open-source projects,INCLUDE,Uses LLM for vulnerability detection (Command Injection).,"IC1,IC2",2026-01-12T11:06:22.664402
HU8M78S2,LLM-BSCVM: an LLM-based blockchain smart contract vulnerability management framework,INCLUDE,LLM used for vulnerability detection in smart contracts.,"IC1,IC2",2026-01-12T11:11:35.664547
FD3TP6ES,Holmes: automated fact check with large language models,INCLUDE,Disinformation is a valid cyber/information security threat; uses LLM for detection.,"IC1,IC2",2026-01-12T11:06:19.994230
ZB84THD8,ACSE-eval: can LLMs threat model real-world cloud infrastructure?,INCLUDE,Evaluates LLM capability in threat identification/modeling for Cloud.,"IC1,IC2",2026-01-12T11:06:21.049165
HHW3IIKJ,LLM-based threat detection and prevention framework for IoT ecosystems,INCLUDE,Explicitly proposes LLM-based anomaly detection for IoT.,"IC1,IC2",2026-01-12T11:06:18.503154
TU8EF3UF,PROVSYN: synthesizing provenance graphs for data augmentation in intrusion detection systems,INCLUDE,Uses LLM for Data Augmentation in IDS.,"IC1,IC2",2026-01-12T11:11:42.858195
T5VIQUC5,AIGI-holmes: towards explainable and generalizable AI-generated image detection via multimodal large language models,INCLUDE,Uses MLLM to detect AI-generated Images (Deepfakes).,"IC1,IC2",2026-01-12T11:11:49.924085
EFGKXWSC,SV-LLM: an agentic approach for SoC security verification using large language models,INCLUDE,Uses LLM agents for SoC vulnerability detection.,"IC1,IC2",2026-01-12T11:11:50.785355
IFU6PGD4,PhishDebate: an LLM-based multi-agent framework for phishing website detection,INCLUDE,Explicit LLM-based phishing detection.,"IC1,IC2",2026-01-12T11:11:46.725956
9QBJ549Z,LLMs on support of privacy and security of mobile apps: state of the art and research directions,INCLUDE,Approach to detect sensitive data leakage using LLMs.,"IC1,IC2",2026-01-12T11:11:48.069726
JI36WVKN,Semantic-aware parsing for security logs,INCLUDE,Uses LLM for Log Parsing (Pre-processing for detection).,"IC1,IC2",2026-01-12T11:11:48.896775
E5U5234M,LLM embedding-based attribution (LEA): quantifying source contributions to generative model's response for vulnerability analysis,INCLUDE,Analyzes LLM output for vulnerability exploitation analysis.,"IC1,IC2",2026-01-12T11:11:44.387655
NQ6EBXMK,Revealing the true indicators: understanding and improving IoC extraction from threat reports,INCLUDE,Uses LLM for CTI/IoC extraction.,"IC1,IC2",2026-01-12T11:11:45.753530
SAIM9X9J,Who's the mole? Modeling and detecting intention-hiding malicious agents in LLM-based multi-agent systems,INCLUDE,Detecting malicious agents (Internal Threat) in MAS.,"IC1,IC2",2026-01-12T11:14:58.634264
HZRUHI79,Evaluating language models for threat detection in IoT security logs,INCLUDE,Explicit LLM-based threat detection in IoT logs.,"IC1,IC2",2026-01-12T11:15:01.495978
WNU8C9Z6,Enhancing android malware detection with retrieval-augmented generation,INCLUDE,Uses LLM + RAG for Android Malware Detection.,"IC1,IC2",2026-01-12T11:14:57.891700
7GSSZBFN,Enhancing security in LLM applications: a performance evaluation of early detection systems,INCLUDE,Evaluates detection systems (likely using LLM/BERT) for Prompt Injection.,"IC1,IC2",2026-01-12T11:14:55.490290
WXC89KWZ,KnowML: improving generalization of ML-NIDS with attack knowledge graphs,INCLUDE,Uses LLM to analyze attacks and improve NIDS.,"IC1,IC2",2026-01-12T11:14:56.426074
9EAW6CHT,mTSBench: benchmarking multivariate time series anomaly detection and model selection at scale,INCLUDE,Benchmark explicitly including LLM-based detectors for anomaly detection.,"IC1,IC2",2026-01-12T11:14:59.785303
KR3XQPIM,"Evaluating large language models for phishing detection, self-consistency, faithfulness, and explainability",INCLUDE,Explicit LLM-based phishing detection.,"IC1,IC2",2026-01-12T11:14:51.998299
E5HS942E,MM-AttacKG: a multimodal approach to attack graph construction with large language models,INCLUDE,Uses MLLM for Attack Graph construction (Threat Analysis/Detection support).,"IC1,IC2",2026-01-12T11:14:52.954998
PCGVA83W,"Explain first, trust later: LLM-augmented explanations for graph-based crypto anomaly detection",INCLUDE,LLM-augmented Crypto Anomaly Detection.,"IC1,IC2",2026-01-12T11:14:54.337141
XIC3HVD4,MalGEN: a generative agent framework for modeling malicious software in cybersecurity,INCLUDE,Uses LLM agents to generate malware for defense testing (Proactive Defense).,"IC1,IC2",2026-01-12T11:14:50.336979
8M2TE2JT,Expert-in-the-loop systems with cross-domain and In-domain few-shot learning for software vulnerability detection,INCLUDE,Explicit LLM-based vulnerability detection.,"IC1,IC2",2026-01-12T11:14:51.198977
746MUH9Q,ShieldLearner: a new paradigm for jailbreak attack defense in LLMs,INCLUDE,Uses learning paradigm to detect jailbreak threats.,"IC1,IC2",2026-01-12T11:15:02.678564
43D9IF39,Beyond trusting trust: multi-model validation for robust code generation,INCLUDE,Detecting anomalous code using multi-model validation.,"IC1,IC2",2026-01-12T11:17:32.005806
DJ5CBQEI,Automated attack testflow extraction from cyber threat report using BERT for contextual analysis,INCLUDE,Uses BERT (LLM) for CTI/Attack Flow extraction.,"IC1,IC2",2026-01-12T11:15:04.002360
IEUST5PA,Modification and generated-text detection: achieving dual detection capabilities for the outputs of LLM by watermark,INCLUDE,Uses LLM context/techniques for detecting text modifications/generated text.,"IC1,IC2",2026-01-12T11:17:29.293278
E597T3S7,Follow the rules: reasoning for video anomaly detection with large language models,INCLUDE,Explicit LLM-based Video Anomaly Detection.,"IC1,IC2",2026-01-12T11:17:34.542699
TGHETIV7,Chain-of-scrutiny: detecting backdoor attacks for large language models,INCLUDE,Using LLMs reasoning to detect backdoor attacks.,"IC1,IC2",2026-01-12T11:17:33.493291
N3XMUGXZ,"Exploring LLMs for malware detection: review, framework design, and countermeasure approaches",INCLUDE,Framework for Malware Detection using LLMs.,"IC1,IC2",2026-01-12T11:20:37.421344
XMJ3AWZD,Ethereum fraud detection via joint transaction language model and graph representation learning,INCLUDE,Explicit LLM-based fraud detection.,"IC1,IC2",2026-01-12T11:20:42.197439
D5UB52EC,Audit-LLM: multi-agent collaboration for log-based insider threat detection,INCLUDE,Explicit LLM-based Insider Threat Detection.,"IC1,IC2",2026-01-12T11:17:43.876501
