Key,Vote,Reason,Code,DOI,Title
ULQGNYJG,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,"EC1, EC2",10.1038/s41598-024-82079-2,Practical Implementation of Federated Learning for Detecting Backdoor Attacks in a Next-word Prediction Model
MFTYF88H,EXCLUDE,"Não atende IC1. EXCLUIR - BERT é usado em dois papéis auxiliares: (1) geração de dados 
sintéticos via CGAN para balancear classes (data augmentation), e (2) ""feature 
extraction"" embarcado no discriminador do GAN. Abstract não especifica que o 
discriminador é o classificador final de IDS. Linguagem sugere arquitetura: 
BERT-enhanced CGAN gera dados → dataset balanceado → [modelo não especificado] 
classifica. Falta evidência de uso direto (sem ""fine-tuning for classification"", 
sem ""BERT classifies""). Propósito primário é data augmentation (auxiliar). 
Não atende IC1 critério refinado.",IC2,10.1007/s12083-023-01595-6,Pre-trained language model-enhanced conditional generative adversarial networks for intrusion detection
37QV9NES,EXCLUDE,"Excluded due to IC1 violation. The LLM operates in a post-detection phase (e.g., alert aggregation, incident response, forensic analysis) rather than performing the primary threat detection task.",EC1,10.1007/978-981-96-5566-3_22,Pre-trained Language Models for Alert Aggregation: Limitations and Opportunities
SWMAJKN7,EXCLUDE,Excluded: Secondary study (survey/review) without primary research contribution.,EC4,10.1007/s11633-022-1382-8,Pre-training in Medical Data: A Survey
ADQYNMAF,EXCLUDE,"Excluded due to IC1 violation. The LLM serves as a feature extractor, generating semantic representations that are subsequently processed by another model for detection. The LLM does not directly classify or identify threats.",EC1,10.1007/978-3-030-95467-3_35,Predatory Conversation Detection Using Transfer Learning Approach
3CYWC5GN,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1007/s13278-022-00906-8,Predicting the type and target of offensive social media posts in Marathi
4ZNML8UM,EXCLUDE,Excluded: Secondary study (survey/review) without primary research contribution.,"EC4, EC1",10.1007/s42979-025-03808-6,"Predictive Analytics of Crime Data in Social Media: A Systematic Review, Incorporating Framework, and Future Investigation Schedule"
LZBU4FWM,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1007/s44366-025-0067-6,Preparing Students for an AI-Driven World: Generative AI and Curriculum Reform in Higher Education
6727R5QE,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC1,10.1007/978-981-96-6046-9_19,Prevention of Cyberattacks on Personal Identifiable Information in Large Language Models Using Data Anonymization Techniques Along with Encryption
X5SZ65QR,EXCLUDE,Excluded: Secondary study (survey/review) without primary research contribution.,EC4,10.1007/s10462-025-11333-4,Privacy and security in recommenders: an analytical review
95TV7C3H,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC4,10.1007/s11704-024-40583-8,Privacy dilemmas and opportunities in large language models: a brief review
9FS9SWQV,EXCLUDE,Excluded: Not in cybersecurity context. The study focuses on healthcare/medical domain.,"EC4, EC2, EC1",10.1007/s10389-022-01795-z,Privacy in electronic health records: a systematic mapping study*
6G8KSJKT,EXCLUDE,Excluded: Secondary study (survey/review) without primary research contribution.,EC4,10.1007/s11432-024-4123-4,Privacy-preserving explainable AI: a survey
EJRI3J53,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1007/978-3-031-71391-0_9,Privacy-Preserving Speech Recognition System—A Conceptual Model
BTEZWDMB,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1186/s12919-025-00328-2,Proceedings of the 6th National Big Data Health Science Conference
8JJL55FY,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC1,10.1038/s41467-024-55631-x,Prompt injection attacks on vision language models in oncology
GQMFGIGN,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC1,10.1007/978-981-96-2721-9_27,Prompt-Based Fine-Tuning of Bangla Language Models for Sequence Classification
C6KJXLA8,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC2,10.1007/978-3-031-47715-7_51,Prompt-Based Learning for Thread Structure Prediction in Cybersecurity Forums
YJX2WYER,EXCLUDE,"EXCLUIR - BERT é usado para GERAÇÃO DE EMBEDDINGS (feature extraction), não classificação. Abstract é explícito na metodologia em 5 fases: Fase 3 ""feature extraction using embeddings"" (BERT/Word2Vec) seguida de Fase 4 ""model training"" (CNN/LSTM/GRU). Arquitetura: BERT→embeddings→CNN classifica. Métricas reportadas são do CNN (93.42% accuracy), que é comparado com LSTM e GRU - todos três são 
classificadores operando sobre embeddings gerados por BERT. BERT descrito como 
""advanced contextual embeddings... to transform URLs into semantic vectors"" 
(função de feature extraction). Sem menção de fine-tuning do BERT para classificação. Padrão idêntico a casos P0921 (SANVector) e P0731 (BERT-URL): 
LLM gera embeddings, outro modelo (ML/DL) classifica. Exatamente o cenário 
especificado pelos supervisores para exclusão. Não atende IC1 critério refinado.",EC1,10.1007/978-3-032-00712-4_15,Proposal of a Model Based on Deep Learning Techniques for the Detection of Phishing in Social Networks
XMW9S7KY,INCLUDE,Excluded: Does not meet inclusion criteria IC1 or IC2.,"IC1, IC2",10.1007/s10515-024-00438-9,ProRLearn: boosting prompt tuning-based vulnerability detection by reinforcement learning
AQW9PBVL,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.3103/S014768822470014X,Prospects for the Application of Robotics in the Industrial Sector of the Economy
ULG8W3NF,EXCLUDE,"Excluded due to IC1 violation. The LLM serves as a feature extractor, generating semantic representations that are subsequently processed by another model for detection. The LLM does not directly classify or identify threats.",EC1,10.1038/s44401-025-00036-1,Protecting medical privacy with pretrained language models: named entity recognition-based de-identification in Korean unstructured electronic medical records
VTKHTCD7,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1007/s00146-024-02130-8,Protecting society from AI misuse: when are restrictions on capabilities warranted?
9VLGJ9R3,EXCLUDE,"Excluded due to IC1 violation. The LLM plays an auxiliary role (e.g., preprocessing, interface, query processing) but does not directly perform threat detection or classification.",,10.1007/978-3-031-85856-7_36,Protecting the Whisper: A Security Assessment of Amazon CodeWhisperer’s Generated Code
3NRYPFK4,EXCLUDE,Excluded: Secondary study (survey/review) without primary research contribution.,"EC4, EC1, EC2",10.1007/s44443-025-00007-4,Pseudorandom number generators based on neural networks: a review
9I7RYAQ9,EXCLUDE,"Largely conceptual and exploratory, closer to a discussion/vision paper than a primary empirical study.",EC4,10.1007/978-981-96-1483-7_31,Psychological Profiling in Cybersecurity: A Look at LLMs and Psycholinguistic Features
NUD5EJZ7,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",,10.1007/978-981-97-8540-7_17,PTFix: Rule-Based and LLM Techniques for Java Path Traversal Vulnerability
WT28DDQC,EXCLUDE,Excluded: The study does not address cybersecurity threat detection. It focuses on a different application domain.,EC1,10.1007/s13278-025-01445-8,Public perception towards deepfake through topic modelling and sentiment analysis of social media data
C3KRCAFF,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC2,10.1007/s40747-024-01661-3,Quality assessment of cyber threat intelligence knowledge graph based on adaptive joining of embedding model
9UAD3766,EXCLUDE,Excluded: Secondary study (survey/review) without primary research contribution.,"EC4, EC1",10.1007/s42484-025-00292-2,"Quantum federated learning: a comprehensive literature review of foundations, challenges, and future directions"
S4YXINLG,EXCLUDE,"Excluded due to IC1 violation. The LLM plays an auxiliary role (e.g., preprocessing, interface, query processing) but does not directly perform threat detection or classification.",EC1,10.1007/978-3-032-05073-1_13,RAGuard: A Novel Approach for In-Context Safe Retrieval Augmented Generation for LLMs
XYQD8UA8,EXCLUDE,Excluded: Secondary study (survey/review) without primary research contribution.,"EC4, EC2",10.1007/978-3-031-45124-9_11,Ransomware Taxonomy and Detection Techniques Based on Machine Learning: A Review
AHQ73EUT,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC2,10.1007/s11416-025-00564-2,Raptor vision-invasive hunt optimization enabled light graph attention coupled gated graph sequence neural network for vulnerability detection
JVVBCBS9,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC2,10.1007/s44196-024-00580-y,Reading Between the Lines: Machine Learning Ensemble and Deep Learning for Implied Threat Detection in Textual Data
HDM9DFR8,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC2,10.1007/978-3-031-85856-7_14,Real-Time AI Voice Clone Detection: A Deep Learning Approach to Safeguard Authenticity
JUJZKVFB,EXCLUDE,Excluded: Not in cybersecurity context. The study focuses on healthcare/medical domain.,EC1,10.1007/978-3-032-00642-4_8,Real-Time Digital Ecosystems: Integrating Virtual Personas and Digital Twins Through Microservices
DNW6LGV4,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC2,10.1007/s00521-024-10440-7,Real-time drone detection framework based on advanced texture feature extraction and pattern recognition model using GUI
7VZMDK44,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1186/s40537-022-00642-y,Real-time event detection in social media streams through semantic analysis of noisy terms
FXEKVGFR,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC1,10.1038/s41598-024-76102-9,Real-time fake news detection in online social networks: FANDC Cloud-based system
4IJ9LW6D,INCLUDE,Excluded: Does not meet inclusion criteria IC1 or IC2.,"IC1, IC2",10.1007/978-3-031-90482-0_33,Real-Time Voice Phishing Detection Using BERT
F25AVVHH,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,"EC1, EC4",10.1007/s12541-025-01334-2,Recent Advances in CNC Technology: Toward Autonomous and Sustainable Manufacturing
ZUZL2WGC,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1007/s10611-024-10197-z,"Regulating deepfakes between Lex Lata and Lex ferenda—a comparative analysis of regulatory approaches in the U.S., the EU and China"
4W6P4G5D,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1007/978-3-032-02504-3_13,Reimagining AI as a Psychosocial Buffer: A Conceptual Model for Mitigating Burnout and Quiet Quitting in Cybersecurity
IWL3VUEL,EXCLUDE,Excluded: The study does not address cybersecurity threat detection. It focuses on a different application domain.,EC4,10.1007/s12555-025-0127-1,Reinforced Intelligence Through Active Interaction in Real World: A Survey on Embodied AI
BIW7SHYU,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,"EC1, EC4",10.1007/s10462-025-11433-1,Reinforcement learning and the Metaverse: a symbiotic collaboration
RUUTTU25,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1007/s44217-024-00349-7,Rejection or integration of AI in academia: determining the best choice through the <i>Opportunity Cost</i> theoretical formula
QFY2HUBV,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC4,10.1007/978-3-031-70239-6_24,Relation Extraction Techniques in Cyber Threat Intelligence
6346NIKD,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,"EC1, EC2",10.1007/978-3-030-84060-0_10,Reliable AI Through SVDD and Rule Extraction
Y66LBTNX,EXCLUDE,Excluded: Not in cybersecurity context. The study focuses on healthcare/medical domain.,"EC1, EC4",10.1186/s43057-021-00053-4,Requirement of artificial intelligence technology awareness for thoracic surgeons
LYBNSA69,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",,10.1007/978-981-19-8285-9_16,Research on Named Entity Recognition Method of Network Threat Intelligence
MSED6VP8,EXCLUDE,Excluded: The study does not address cybersecurity threat detection. It focuses on a different application domain.,EC1,10.1007/s10791-025-09675-2,Research on the construction and application of problem-method-oriented academic graph empowered by LLM
KVB8ZP8Q,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC1,10.1007/978-3-031-85386-9_25,Research on the Detection and Rephrasing of Toxic Text Based on Large-Scale Pre-training Language Models
L24DIMV6,EXCLUDE,"""Análise de Tipo
Tipo: Exploratory/conceptual study
Evidências: """"potential"""", """"expected to play""""
DECISÃO: FORA DO ESCOPO 
Justificativa: Conceptual/exploratory study sem implementação concreta."".","IC1, IC2, EC4",10.1007/978-981-96-1868-2_31,Research on the Possibility of Application of Generative Artificial Intelligence in Open Source Threat Intelligence Grid Field
97B8WGBE,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1007/s11227-023-05544-1,Research streams and open challenges in the metaverse
G2GMEMVB,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC1,10.1038/s41598-025-21145-9,Research topic detection in scientific articles using a hybrid BERT integrated telescopic vector tree model with emperor penguin enhanced NSGA II optimization
IJMM2BVS,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1007/978-3-031-78940-3_6,Reshaping Security: Adversarial Defense in Machine Learning Application
WLA8X99J,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC1,10.1007/s44196-025-01025-w,Responsible Detection and Mitigation of AI-Generated Text Using Hybrid Neural Networks and Feature Fusion: Toward Trustworthy Content Management in the Era of Large Language Models
EW8CKJ68,EXCLUDE,Excluded: Secondary study (survey/review) without primary research contribution.,EC4,10.1007/978-3-032-09735-4_20,Rethinking Dynamic Security Strategies: A Survey of Moving Target Defense and Self-Defending Systems Design
HLMVC85B,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC2,10.1007/s00500-021-05586-8,RETRACTED ARTICLE: Detection of shilling attack in recommender system for YouTube video statistics using machine learning techniques
3X7245JY,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC4,10.1007/s13132-024-01754-x,RETRACTED ARTICLE: Navigating Digital Transformation and Knowledge Structures: Insights for Small and Medium-Sized Enterprises
X94FDVIX,EXCLUDE,Excluded: Secondary study (survey/review) without primary research contribution.,EC4,10.1007/978-981-96-4506-0_3,Review of Path Planning and Decision-Making in Automated Penetration Testing
IV9LJTU9,EXCLUDE,Excluded: Secondary study (survey/review) without primary research contribution.,EC4,10.1007/978-981-97-0892-5_19,Review of Various Approaches for Authorship Identification in Digital Forensics
4KE5F9IQ,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC1,10.1057/s41599-025-04725-y,Revolutionizing finance with conversational AI: a focus on ChatGPT implementation and challenges
R4S4TUM2,EXCLUDE,"Excluded due to IC1 violation. The LLM serves as a feature extractor, generating semantic representations that are subsequently processed by another model for detection. The LLM does not directly classify or identify threats.",EC1,10.1007/978-3-032-09694-4_12,Revolutionizing Financial Industry with Large Language Models
BKNMRZY4,EXCLUDE,Excluded: Not in cybersecurity context. The study focuses on healthcare/medical domain.,"EC1, EC4",10.1186/s12909-023-04698-z,Revolutionizing healthcare: the role of artificial intelligence in clinical practice
UCPBCVTD,EXCLUDE,"Excluded due to IC1 violation. The LLM plays an auxiliary role (e.g., preprocessing, interface, query processing) but does not directly perform threat detection or classification.",EC1,10.1007/978-3-032-02853-2_3,Revolutionizing Shift-Left Testing Through an Agentic AI Framework: Enhancing Software Quality and Digital Trust
R45QYC9V,EXCLUDE,Excluded: The study does not address cybersecurity threat detection. It focuses on a different application domain.,"EC1, EC4",10.1007/s11356-025-36566-2,Revolutionizing the future: unleashing the potential of generative AI ChatGPT in disaster management
D56U7S6X,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC4,10.1007/s00146-024-02004-z,Risk and artificial general intelligence
6XEFX425,EXCLUDE,"Although it applies LLMs to risk detection, the domain is e-commerce business and supply-chain risk, not cybersecurity threats.",EC1,10.1007/978-3-032-06164-5_11,Risk Detection in E-commerce with LLMs: Annotation Challenges and Lessons from Real-World Business News
TQR7AR4E,EXCLUDE,"Excluded due to IC1 violation. The LLM plays an auxiliary role (e.g., preprocessing, interface, query processing) but does not directly perform threat detection or classification.",,10.1007/978-3-032-00633-2_8,Risk-Aware Adaptive Cyber Deception Guided by Large Language Models
WZJZP6W6,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1057/s41284-025-00495-z,"Risk, regulation, and governance: evaluating artificial intelligence across diverse application scenarios"
Z95INUDM,EXCLUDE,Excluded: The study does not address cybersecurity threat detection. It focuses on a different application domain.,"EC1, EC4",10.1038/s41467-025-63913-1,Risks of AI scientists: prioritizing safeguarding over autonomy
8BDXPNT4,EXCLUDE,Excluded: The study does not address cybersecurity threat detection. It focuses on a different application domain.,"EC1, EC4",10.1007/978-981-95-0880-8_22,Risks of Large Language Models Misalignment: Multi-Stakeholder Obligations and Governance
63EDA8XZ,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC2,10.1007/978-3-031-49187-0_6,RLTrace: Synthesizing High-Quality System Call Traces for OS Fuzz Testing
EIXXJN62,EXCLUDE,"Justificativa: Transformer extrai features → QSRPVR classifica. Padrão embeddings→classifier. BERT é treinado/tuned para a tarefa. Foco do paper é técnica de tuning para dados desbalanceados, não arquitetura multi-componente. .",,10.1007/s42979-025-04608-8,Robust Android Malware Detection: Leveraging Generative Transformer-Based Feature Extraction and Hybrid Optimization Techniques
KQVQB3Y2,EXCLUDE,Excluded: Not in cybersecurity context. The study focuses on healthcare/medical domain.,EC1,10.1038/s41746-025-01926-2,Robustness tests for biomedical foundation models should tailor to specifications
KYHHC3H7,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,,10.1007/978-981-96-9875-2_41,Rule Generation for Anomalous Behaviors Detection in Enterprises: A Few-Shot Learning Approach via Chain-of-Thoughts
SZLXDR2W,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1007/s43681-024-00451-4,Safeguarding human values: rethinking US law for generative AI’s societal impacts
GKL2453Z,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC4,10.1007/s10462-025-11389-2,Safeguarding large language models: a survey
YLPYFTJN,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC2,10.1007/s10791-025-09614-1,Samurai and assassins strategy using agent based modelling and simulation for finding success probability and efficiency in complex scenarios
A6T68MC9,EXCLUDE,"EXCLUIR - Abstract é EXPLÍCITO: SBERT extrai embeddings (""extracts deep 
semantic features"") e depois ""these features are classified using the 
traditional model with K-Nearest Neighbor (KNN)"". Paper compara múltiplos 
classificadores tradicionais (KNN, SVM, AdaBoost, XGBoost, DNN) aplicados 
sobre os embeddings do SBERT. SBERT é ferramenta auxiliar de feature 
extraction, não o detector. A detecção é realizada por ML tradicional 
(KNN reporta 93.17% accuracy). Arquitetura: SBERT→embeddings→KNN→classificação. 
Exatamente o cenário que supervisores especificaram para exclusão: LLM auxiliar 
(enriquecimento de dados) enquanto detecção é feita por ML tradicional. 
Não atende IC1 critério refinado.",,10.1007/978-3-032-13714-2_10,SANVector: SBERT-APTNet Vector Framework for Cyber Threat Attack Attribution Using Diversified CTI Logs
YKL3QEN6,INCLUDE,Excluded: Does not meet inclusion criteria IC1 or IC2.,"IC1, IC2",10.1007/978-3-031-97620-9_1,ScamFerret: Detecting Scam Websites Autonomously with Large Language Models
LDLMJ7T5,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC4,10.1007/s41635-025-00165-x,"Secure and Trustworthy Microelectronics: Vulnerabilities, Solutions, and Trends*"
QYS6A8YV,EXCLUDE,"Excluded due to IC1 violation. The LLM plays an auxiliary role (e.g., preprocessing, interface, query processing) but does not directly perform threat detection or classification.",EC1,10.1007/978-981-96-1206-2_4,Secure Code Generation with CodeT5: Leveraging Large Language Models and CVE Dataset
BHJW9X59,EXCLUDE,"Excluded due to IC1 violation. The LLM plays an auxiliary role (e.g., preprocessing, interface, query processing) but does not directly perform threat detection or classification.",EC1,10.1007/978-3-032-07992-3_19,Secure Code Generation with Parameter-Efficient Fine-Tuning of LLMs
