Key,Vote,Reason,Code,DOI,Title
HVNSMELP,EXCLUDE,"Justificativa:
Foco em EXTRACTION/NER, não DETECTION,
Extrai entidades de texto, não detecta ameaças em sistemas,
IC1 foca em ""threat DETECTION tasks"".",EC1,10.1007/978-981-95-3543-9_28,CyberNER-LLM: Cyber Threat Intelligence Named Entity Recognition With Large Language Model
SVZDUERC,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1007/978-3-030-86230-5_55,CyberPolice: Classification of Cyber Sexual Harassment
JB4HTEI6,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC4,10.1007/978-3-032-01429-0_48,Cybersecurity 2030: The Synergy Between Machine Learning and Generative Artificial Intelligence
LMSA33C3,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,"EC2, EC4",10.1007/s00521-025-11604-9,Cybersecurity challenges and opportunities of machine learning-based artificial intelligence
P2GEK62H,EXCLUDE,"Although the study applies BERT-based representations to cybersecurity named entity recognition, it does not utilize Large Language Models nor address threat detection or analysis tasks using LLMs. Instead, it focuses on conventional deep learning–based NER for knowledge graph construction.",EC2,10.1007/978-981-96-1698-5_10,Cybersecurity Entity Recognition Method Combined with Feedforward Neural Network Enhancement
NHVLGEPK,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC4,10.1007/s12243-023-00956-9,"Cybersecurity in networking: adaptations, investigation, attacks, and countermeasures"
HHZHJT5Y,EXCLUDE,"Excluded due to IC1 violation. The LLM plays an auxiliary role (e.g., preprocessing, interface, query processing) but does not directly perform threat detection or classification.",EC4,10.1007/978-3-031-94458-1_8,Cybersecurity with LLMs and RAGs: Challenges and Innovations
F4FNLJYZ,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC2,10.1007/978-3-032-07735-6_28,CyberTracker: A Web Portal for Cyber Fraud Monitoring and Interactive Querying Using Lightweight Language Models
N4CT6WPA,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC2,10.1007/978-3-031-15255-9_5,CyNER: Information Extraction from Unstructured Text of CTI Sources with Noncontextual IOCs
IZNIIDJM,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1007/s41060-021-00278-w,Data science and AI in FinTech: an overview
HIHHS9PX,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC2,10.1007/s44443-025-00233-w,DBF-PSR: a dual-branch fusion approach to network traffic classification using protocol semantic representation
ZQYEDR5U,INCLUDE,Excluded: Does not meet inclusion criteria IC1 or IC2.,"IC1, IC2",10.1007/978-981-96-2468-3_40,DBSFT: A High-Precision Database Anomaly Detection and Analysis via Task-Tune Based LLM
3XVZD5YN,EXCLUDE,Excluded: Secondary study (survey/review) without primary research contribution.,"EC1, EC4",10.1007/978-981-99-3608-3_57,DDoS Attack Using Machine Learning: A Brief Survey
FQ6RUGAP,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC4,10.1007/978-981-96-1758-6_36,"Deceive, Disrupt, Disclose: The 3D Model for AI Security"
I3QK9YTY,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC2,10.1007/s13278-024-01297-8,Decoding the black box: LIME-assisted understanding of Convolutional Neural Network (CNN) in classification of social media tweets
8IMFW8K7,EXCLUDE,"Excluded due to IC1 violation. The LLM serves as a feature extractor, generating semantic representations that are subsequently processed by another model for detection. The LLM does not directly classify or identify threats.",EC1,10.1007/s42452-025-07217-5,Decoding the shadows: multi-modal identity profiling in darknet markets using latent behavior feature fusion
W63KM7RT,EXCLUDE,"Excluded due to IC1 violation. The LLM plays an auxiliary role (e.g., preprocessing, interface, query processing) but does not directly perform threat detection or classification.",EC4,10.1631/FITEE.2400467,Deep anomaly detection of temporal heterogeneous data in AIOps: a survey
46NJ53AE,EXCLUDE,Excluded: Secondary study (survey/review) without primary research contribution.,EC4,10.1007/s10462-024-11014-8,Deep learning adversarial attacks and defenses in autonomous vehicles: a systematic literature review from a safety perspective
KSX9W8TC,EXCLUDE,"Excluded due to IC1 violation. The LLM is used solely for embedding generation, while a separate classifier (e.g., SVM, XGBoost, neural network) performs the actual threat detection. This represents a 'feature extraction → classification' pipeline where the LLM does not directly perform detection.",EC2,10.1007/s12583-021-1589-6,Deep Learning and Network Analysis: Classifying and Visualizing Geologic Hazard Reports
A5JBZW29,EXCLUDE,Excluded: Secondary study (survey/review) without primary research contribution.,EC4,10.1007/s12065-024-00949-0,"Deep learning applications in the Internet of Things: a review, tools, and future directions"
HHFJLP95,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC2,10.1007/978-3-031-15777-6_24,Deep Learning Based Webshell Detection Coping with Long Text and Lexical Ambiguity
77HGKJ6Q,EXCLUDE,Excluded: Secondary study (survey/review) without primary research contribution.,EC4,10.1007/s11432-023-3956-3,Deep learning for code generation: a survey
M9W8GZ93,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1007/978-3-031-84460-7_37,Deep Learning of AI: Kazakhstan’s Case
PPDFSPS7,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,"EC4, EC1",10.1007/s11432-023-4127-5,"Deep learning-based software engineering: progress, challenges, and opportunities"
3W9TIJ58,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC2,10.1186/s10033-021-00587-y,Deep Learning-Driven Data Curation and Model Interpretation for Smart Manufacturing
8UK2JHZL,EXCLUDE,Excluded: Secondary study (survey/review) without primary research contribution.,EC4,10.1007/s41060-025-00892-y,"Deep multi-task learning: a review of concepts, methods, and cross-domain applications"
4AD4NIV7,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC1,10.1007/s10207-024-00901-4,Defect-scanner: a comparative empirical study on language model and deep learning approach for software vulnerability detection
5JSWLPWD,EXCLUDE,"Excluded due to IC1 violation. The LLM plays an auxiliary role (e.g., preprocessing, interface, query processing) but does not directly perform threat detection or classification.",EC2,10.1007/s10586-024-04916-3,Defending mutation-based adversarial text perturbation: a black-box approach
URSPHUFA,EXCLUDE,"This work contributes to adversarial machine learning and efficient neural network design, rather than to LLM-based cybersecurity threat detection or analysis. Therefore, it falls outside the defined scope and fails to meet IC2.",EC1,10.1038/s41598-024-56259-z,Defense against adversarial attacks: robust and efficient compressed optimized neural networks
LKK6LXNW,INCLUDE,Excluded: Does not meet inclusion criteria IC1 or IC2.,"IC1, IC2",10.1007/s11235-025-01337-4,Defense-optimized BERT architecture against digital arrest attacks in intelligent systems
BFLNRYZQ,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1007/s10270-025-01271-8,Defining and generating multi-level and uncertainty-wise test oracles for cyber-physical systems
4L7HR6PH,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC9,10.1007/s00066-024-02233-7,DEGRO 2024 Abstractband
EE62CNB5,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC9,10.1007/s00066-025-02406-y,DEGRO 2025 Abstractband
ADCNLVBK,EXCLUDE,"Excluded due to IC1 violation. The LLM plays an auxiliary role (e.g., preprocessing, interface, query processing) but does not directly perform threat detection or classification.","EC1, EC4",10.1007/s11831-024-10115-5,Demystifying ChatGPT: An In-depth Survey of OpenAI’s Robust Large Language Models
F4F684A4,EXCLUDE,"Excluded due to IC1 violation. The LLM plays an auxiliary role (e.g., preprocessing, interface, query processing) but does not directly perform threat detection or classification.",EC4,10.1007/978-3-031-67285-9_20,Demystifying the Ethical Framework for Generative AI in Healthcare: A Data Science Perspective
38XI8MMM,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,"EC4, EC1",10.1007/978-3-031-61175-9_23,Design Principles for Collaborative Generative AI Systems in Software Development
Z6P3SLHF,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC4,10.1007/s40518-025-00279-4,Design Strategies for Integrated Transmission and Distribution Systems: An Expanding Toolkit
FGE323DQ,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC4,10.1007/s10586-024-04355-0,Design tactics for tailoring transformer architectures to cybersecurity challenges
H5DT2AHG,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC2,10.1007/978-3-032-08649-5_25,Designing Interpretable AI Models with Lightweight Parallelism for Real-Time Malware Detection and Prevention
SNSUQ3C7,INCLUDE,Excluded: Does not meet inclusion criteria IC1 or IC2.,"IC1, IC2",10.1007/978-3-031-85240-4_14,Detecting Jailbreaking Prompts: an Anti-Persuasion Filter Framework
5DVRVBFL,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC2,10.3103/S0146411624700779,Detecting Malware Using Deep Neural Networks
274FYXM5,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,"EC1, EC2",10.1007/978-3-031-87784-1_41,Detecting Manipulated Digital Entities Through Real-World Anchors
DBK3ZTNP,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC1,10.1007/s11227-024-06772-9,Detecting multimodal cyber-bullying behaviour in social-media using deep learning techniques
G48896ND,EXCLUDE,"SMS messages → BERT/TF-IDF embeddings → 
logistic regression / multi-layer neural networks classifica.",IC2,10.1007/s42979-024-03532-7,Detecting Smishing Messages Using BERT and Advanced NLP Techniques
4AILI7QS,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1057/s41599-024-03920-7,Detecting terrorist influencers using reciprocal human-machine learning: The case of militant Jihadist Da’wa on the Darknet
