Key,Vote,Reason,Code,DOI,Title
4NDSEI3T,EXCLUDE,"Does not target a single detection task, but enables multiple CTI and cyber defense tasks. Commonly included as foundational LLM work in SLRs.","IC1, IC2, EC1",10.1007/978-3-031-25538-0_3,SecureBERT: A Domain-Specific Language Model for Cybersecurity
67XCGBR5,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC1,10.1007/s42454-025-00085-9,Securing local LLMs for academic research: a human-system integration analysis and evolution of TAUCHI-GPT
VADJBWA7,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC2,10.1007/978-981-97-7786-0_12,Securing NLP Systems: A Comprehensive AI-Based Approach
GQ9IIDS2,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC4,10.1007/s10586-025-05482-y,Securing social network user data in large language model deployments: challenges and best practices
7AYLXK3M,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.","EC1, EC2",10.1007/s13278-024-01399-3,Securing social spaces: machine learning techniques for fake profile detection on instagram
NTMSQCYG,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC4,10.1007/978-3-032-07373-0_44,Securing the Cloud with AI: How Multi-agent Systems Detect and Prevent Cyber Threats*
9WN77686,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC4,10.1007/978-3-031-89063-5_3,Security and Privacy for LLMs and LMMs Across Key Sectors: A Literature Survey
M8HSJZIQ,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1007/978-981-97-5937-8_1,Security Aspects of Digital Identity
A7EKMNIB,EXCLUDE,"Justificativa:

Não é estudo empírico - é proposta conceitual/visão
Sem avaliação experimental
Similar a position papers/vision papers
Não demonstra aplicação concreta de LLM.",,10.1007/978-981-96-0924-6_43,Security Copilot: A Blueprint for Leveraging Generative AI in Cyber Defense
W3CSVUZN,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC9,10.1007/s38314-025-2068-0,Security in Next-gen Centralized E/E Architectures
5J8XALM6,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC4,10.1007/s00146-025-02247-4,Security practices in AI development
CAGGQU6J,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC4,10.1007/s10278-025-01501-x,Selected Abstracts from the SIIM 2025 Annual Meeting of the Society for Imaging Informatics in Medicine (SIIM)
ELTEGTJ6,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1007/s11227-024-06307-2,Semantic difference-based feature extraction technique for fake news detection
2TR9LIFA,EXCLUDE,Justificativa: Language model extrai semantic info (auxiliar) → Autoencoder combina com network traffic para detecção. Similar a federated zero-shot case.,,10.1007/978-981-95-3061-8_26,Semantic Information Extraction with Language Models for Zero-Day Attack Detection
I4X39DCR,EXCLUDE,"Excluded due to IC1 violation. The LLM serves as a feature extractor, generating semantic representations that are subsequently processed by another model for detection. The LLM does not directly classify or identify threats.",,10.1007/978-981-95-3453-1_32,SemantiHunt: A New Behavioral Semantics-Driven Method for Network Threat Hunting
MYLEPGM9,EXCLUDE,"Justificativa:

Não usa LLM - compara contra BERT como baseline
""Domain-specific language modeling"" parece ser método próprio
IC1 requer ""application of LLMs"" - se não usa LLM, está fora.",,10.1186/s13635-025-00210-w,Semi-supervised method for anomaly detection in HTTP traffic
VHZSAHS5,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC2,10.1007/s13042-020-01238-9,SemiDroid: a behavioral malware detector based on unsupervised machine learning techniques using feature selection approaches
RH6XBSXJ,EXCLUDE,Excluded: The study does not address cybersecurity threat detection. It focuses on a different application domain.,EC1,10.1007/s10664-025-10645-x,Simplifying software compliance: AI technologies in drafting technical documentation for the AI Act
IKKCQJM7,EXCLUDE,Excluded: The study does not address cybersecurity threat detection. It focuses on a different application domain.,"EC1, EC4",10.1038/s41746-025-01721-z,Situating governance and regulatory concerns for generative artificial intelligence and large language models in medical education
RLI6GXEV,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC2,10.1007/s00521-025-11338-8,SLF-ADM: Securing Linux frontiers: Advanced persistent threat (APT) detection using machine learning
CBAESHMG,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC4,10.1007/978-3-031-61572-6_8,Small Languages and Big Models: Using ML to Generate Norwegian Language Social Media Content for Training Purposes
7T7Y6KRG,INCLUDE,"Uses fine-tuned BERT with self-attention for phishing/violent message detection in smart vehicle networks.
LLMs are used as classifiers/feature extractors, not for generative reasoning. Typical transformer-based threat detection paper.","IC1, IC2",10.1007/s13198-023-02065-1,Smart vehicles networks: BERT self-attention mechanisms for cyber-physical system security
TNHV8577,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,"EC2, EC1",10.1007/978-3-031-89063-5_56,SmartDelta Methodology: Automated Quality Assurance and Optimization for Incremental System Engineering
88CSMLKX,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",EC1,10.1007/s40866-025-00274-0,SmartGridAgent: An Educational Framework for Reliable Digital Twin-Based Smart Grid Workforce Training with Locally Hosted LLMs
7JC5HKCP,EXCLUDE,"Excluded: While the study mentions LLMs in a cybersecurity context, the specific role and application of the LLM in threat detection is unclear from the title and abstract.",,10.1007/978-3-031-37586-6_15,SMET: Semantic Mapping of CVE to ATT&CK and Its Application to Cybersecurity
TG8UC2X5,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1007/s43681-020-00014-3,"Smile, you are being identified! Risks and measures for the use of facial recognition in (semi-)public spaces"
H3IDTZQH,EXCLUDE,Excluded: Does not involve Large Language Models or transformer-based approaches.,EC1,10.1007/978-981-95-0880-8_18,Social Bot Detection via Heterogeneous Graph Learning and Sample Balancing Strategies
